212,中国工業,chugoku-ind
213,中村撰果機,nakamurasenkaki
214,中部エコテック,chubuecoteck
215,仲田コーティング,nakata-coating
216,田端農機具製作所,tabatanoukiguss
217,田中衝機工業所,tanaka-scale
218,田中産業,tanaka-ind
219,渡辺農機,watanabenouki
220,土谷特殊農機具製作所,tuchiyatokushunoukiguss
221,東映エージェンシー,toeiagency
222,東映貿易,touei-boueki
223,東海理化販売,toukairikahanbai
224,東西産業貿易,touzaisangyoboueki
225,東邦貿易,tohoboueki
226,東北海道いすゞ自動車,tohokuhokkaidoisuzujidosha
227,東洋ライス,toyorice
228,東洋精米機製作所,toyoseimaiss
229,東洋農機,toyonouki
230,藤見鉄工所,fujimitekkojo
231,南光,nanko
232,日環エンジニアリング,nikkan-eng
233,日工タナカエンジニアリング,nikko-tanaka-eng
234,日農機,nichinouki
235,日本ヴューテック,japan-vuetech
236,日本オペレーター,japan-operater
237,日本ニューホランド,japan-newholland
238,日本プラントシーダー,japan-plantseader
239,日本車輌製造,nihonsharyoseizo
240,日立建機,hitachikenki
241,日立建機ティエラ,hitachikenki-tierra
242,美善,bizen
243,富士重工業,fuji-jukogyo
244,富士平工業,fuji-heikogyo
245,冨士トレーラー製作所,fuji-tralarss
246,武藤選果機製作所,mutosenkass
247,福栄産業,fukueisangyo
248,複千製作所,hukusenss
249,文明農機,bunmeinouki
250,片山製作所,katayamass
251,片倉機器工業,katakurakiki-ind
252,宝田工業,takarada-ind
253,豊田自動織機,toyotajidosyokki
254,北海道糖業,hokkaidotogyo
255,北川鉄工所,kitagawatekkojo
256,本田技研工業,honda
257,明伸興産,meishinkosan
258,木原製作所,kiharass
259,矢部自動車,yabe-jidosha
260,有光工業,arimitsu-ind
261,落合刃物工業,ochiaihamono-ind
262,緑産,ryokusan
263,林鐵工所,hayashitekkojo
264,和コーポレーション,kaz-corp
265,和泉製作所,izumiss
266,和同産業,wadowangyo
267,國光社,kunimitsusha
268,IHIスター,ihi-star
269,ISEKIアグリ,isekiagri
270,JFEアドバンテック,jfeadvanteck
271,TCM,tcm
272,その他,other
273,メーカー不詳,unknown
274,三菱マヒンドラ農機,mitsubishimahindranouki
275,井関農機,isekinouki
276,IHIアグリテック,ihiagritech
277,工進,koshin
278,イガラシ機械工業,igarashikikai-ind
